Player,Nation,Squad,Position,Age,Minutes,Matches played,Starts,Goals,Assists,Yellow cards,Red cards,Expected: xG,Expected: xAG,Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90: Gls,Per 90: Ast,Per 90: xG,Per 90: xGA,Performance: GA90,Performance: Save%,Performance: CS%,Penalty Kicks: Save%,Standard: SoT%,Standard: SoT/90,Standard: G/Sh,Standard: Dist,Total: Cmp,Total: Cmp%,Total: TotDist,Short: Cmp%,Medium: Cmp%,Long: Cmp%,Expected: KP,Expected: 1/3,Expected: PPA,Expected: CrsPA,SCA,SCA90,GCA,GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches Att 3rd,Touches Att Pen,TakeOns: Att,TakeOns: Succ%,TakeOns: Tkld%,Carries: Carries,Carries: PrgDist,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerials: Won,Aerials: Lost,Aerials: Won%
Aaron Cresswell,ENG,West Ham,DF,35,676,15,8,0,0,2,0,0.1,1.1,4,28,2,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,29.8,415,81.5,3045,91.7,87.4,53.1,7,43,4,1,12,1.60,0,0.00,9,5,N/a,2,9,4,5,8,576,39,227,281,73,1,N/a,N/a,50.0,228,398,7,0,N/a,N/a,353,3,2,0,28,29,7,6,53.8
Aaron Ramsdale,ENG,Southampton,GK,26,"2,430",27,27,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,715,64.6,15538,99.5,96.2,38.6,0,33,1,0,3,0.11,0,0.00,0,0,N/a,2,0,0,0,2,1189,860,1166,26,0,0,N/a,N/a,N/a,723,2159,0,0,N/a,N/a,646,1,4,0,0,20,5,0,100.0
Aaron Wan-Bissaka,ENG,West Ham,DF,27,"2,884",33,32,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,N/a,N/a,N/a,N/a,N/a,31.3,0.16,0.13,15.1,1321,80.5,6928,89.9,81.1,46.0,30,89,32,11,85,2.65,8,0.25,64,45,N/a,7,32,9,23,60,2039,136,628,877,564,44,N/a,N/a,34.3,961,3383,59,13,N/a,N/a,1174,22,25,4,70,163,22,30,42.3
Abdoulaye Doucouré,MLI,Everton,MF,32,"2,425",30,29,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,N/a,N/a,N/a,N/a,N/a,31.0,0.33,0.10,13.8,676,79.6,2133,85.1,83.1,72.7,26,44,14,0,54,2.00,2,0.07,45,27,N/a,26,30,6,24,9,1090,31,218,502,385,59,N/a,N/a,46.5,571,1339,24,8,N/a,N/a,705,46,5,10,23,139,29,43,40.3
Abdukodir Khusanov,UZB,Manchester City,DF,21,503,6,6,0,0,1,0,0.0,0.1,1,25,2,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.9,360,91.1,1976,94.7,97.0,26.1,2,23,0,0,5,0.89,0,0.00,5,4,N/a,1,5,4,1,3,445,45,205,211,31,1,N/a,N/a,100.0,274,435,1,0,N/a,N/a,332,3,3,0,1,27,6,4,60.0
Abdul Fatawu Issahaku,GHA,Leicester City,FW,21,579,11,6,0,2,0,0,0.4,1.6,42,17,60,0.00,0.31,0.06,N/a,N/a,N/a,N/a,N/a,38.5,0.78,0.00,31.2,123,62.4,601,72.8,76.3,48.5,6,7,7,2,17,2.64,3,0.47,21,15,N/a,8,7,0,7,4,326,19,73,114,157,26,N/a,N/a,40.6,217,1055,24,15,N/a,N/a,216,11,20,2,30,38,14,13,51.9
Adam Armstrong,ENG,Southampton,"FW,MF",28,"1,248",20,15,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,N/a,N/a,N/a,N/a,N/a,28.0,0.50,0.08,16.6,231,80.2,446,87.3,85.3,46.2,9,10,8,2,19,1.37,4,0.29,12,3,N/a,11,6,1,5,3,377,11,44,143,192,49,N/a,N/a,57.1,235,599,13,6,N/a,N/a,286,12,5,9,14,23,5,9,35.7
Adam Lallana,ENG,Southampton,MF,36,361,14,5,0,2,4,0,0.2,0.9,6,24,10,0.00,0.50,0.04,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,18.1,221,85.0,980,89.1,91.0,44.4,4,21,9,3,9,2.24,2,0.50,8,5,N/a,10,4,1,3,5,318,19,91,155,73,6,N/a,N/a,41.7,178,366,8,0,N/a,N/a,245,8,8,0,4,19,2,2,50.0
Adam Smith,ENG,Bournemouth,DF,34,"1,409",22,17,0,0,6,0,0.7,0.3,12,40,31,0.00,0.00,0.04,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.9,436,75.7,2372,88.0,78.1,37.5,7,41,8,5,20,1.28,2,0.13,21,10,N/a,13,12,5,7,14,707,39,217,332,162,6,N/a,N/a,40.0,305,585,15,0,N/a,N/a,333,15,11,0,30,43,12,13,48.0
Adam Webster,ENG,Brighton,DF,30,617,11,8,0,0,0,0,0.0,0.5,7,40,2,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,100.0,0.15,0.00,15.3,429,85.6,3140,95.5,91.8,50.6,3,32,2,0,10,1.46,3,0.44,8,5,N/a,6,12,9,3,14,569,84,279,271,22,8,N/a,N/a,66.7,326,1142,2,0,N/a,N/a,384,5,2,1,1,20,17,4,81.0
