Group,Median of Age,Mean of Age,Std of Age,Median of Matches played,Mean of Matches played,Std of Matches played,Median of Starts,Mean of Starts,Std of Starts,Median of Goals,Mean of Goals,Std of Goals,Median of Assists,Mean of Assists,Std of Assists,Median of Yellow cards,Mean of Yellow cards,Std of Yellow cards,Median of Red cards,Mean of Red cards,Std of Red cards,Median of Expected: xG,Mean of Expected: xG,Std of Expected: xG,Median of Expected: xAG,Mean of Expected: xAG,Std of Expected: xAG,Median of Progression: PrgC,Mean of Progression: PrgC,Std of Progression: PrgC,Median of Progression: PrgP,Mean of Progression: PrgP,Std of Progression: PrgP,Median of Progression: PrgR,Mean of Progression: PrgR,Std of Progression: PrgR,Median of Per 90: Gls,Mean of Per 90: Gls,Std of Per 90: Gls,Median of Per 90: Ast,Mean of Per 90: Ast,Std of Per 90: Ast,Median of Per 90: xG,Mean of Per 90: xG,Std of Per 90: xG,Median of Standard: SoT%,Mean of Standard: SoT%,Std of Standard: SoT%,Median of Standard: SoT/90,Mean of Standard: SoT/90,Std of Standard: SoT/90,Median of Standard: G/Sh,Mean of Standard: G/Sh,Std of Standard: G/Sh,Median of Standard: Dist,Mean of Standard: Dist,Std of Standard: Dist,Median of Total: Cmp,Mean of Total: Cmp,Std of Total: Cmp,Median of Total: Cmp%,Mean of Total: Cmp%,Std of Total: Cmp%,Median of Total: TotDist,Mean of Total: TotDist,Std of Total: TotDist,Median of Short: Cmp%,Mean of Short: Cmp%,Std of Short: Cmp%,Median of Medium: Cmp%,Mean of Medium: Cmp%,Std of Medium: Cmp%,Median of Long: Cmp%,Mean of Long: Cmp%,Std of Long: Cmp%,Median of Expected: KP,Mean of Expected: KP,Std of Expected: KP,Median of Expected: 1/3,Mean of Expected: 1/3,Std of Expected: 1/3,Median of Expected: PPA,Mean of Expected: PPA,Std of Expected: PPA,Median of Expected: CrsPA,Mean of Expected: CrsPA,Std of Expected: CrsPA,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of Tackles: Tkl,Mean of Tackles: Tkl,Std of Tackles: Tkl,Median of Tackles: TklW,Mean of Tackles: TklW,Std of Tackles: TklW,Median of Challenges: Lost,Mean of Challenges: Lost,Std of Challenges: Lost,Median of Blocks: Blocks,Mean of Blocks: Blocks,Std of Blocks: Blocks,Median of Blocks: Sh,Mean of Blocks: Sh,Std of Blocks: Sh,Median of Blocks: Pass,Mean of Blocks: Pass,Std of Blocks: Pass,Median of Blocks: Int,Mean of Blocks: Int,Std of Blocks: Int,Median of Touches: Touches,Mean of Touches: Touches,Std of Touches: Touches,Median of Touches: Def Pen,Mean of Touches: Def Pen,Std of Touches: Def Pen,Median of Touches: Def 3rd,Mean of Touches: Def 3rd,Std of Touches: Def 3rd,Median of Touches: Mid 3rd,Mean of Touches: Mid 3rd,Std of Touches: Mid 3rd,Median of Touches Att 3rd,Mean of Touches Att 3rd,Std of Touches Att 3rd,Median of Touches Att Pen,Mean of Touches Att Pen,Std of Touches Att Pen,Median of TakeOns: Tkld%,Mean of TakeOns: Tkld%,Std of TakeOns: Tkld%,Median of Carries: Carries,Mean of Carries: Carries,Std of Carries: Carries,Median of Carries: PrgDist,Mean of Carries: PrgDist,Std of Carries: PrgDist,Median of Carries: 1/3,Mean of Carries: 1/3,Std of Carries: 1/3,Median of Carries: CPA,Mean of Carries: CPA,Std of Carries: CPA,Median of Receiving: Rec,Mean of Receiving: Rec,Std of Receiving: Rec,Median of Performance: Fls,Mean of Performance: Fls,Std of Performance: Fls,Median of Performance: Fld,Mean of Performance: Fld,Std of Performance: Fld,Median of Performance: Off,Mean of Performance: Off,Std of Performance: Off,Median of Performance: Crs,Mean of Performance: Crs,Std of Performance: Crs,Median of Performance: Recov,Mean of Performance: Recov,Std of Performance: Recov,Median of Aerials: Won,Mean of Aerials: Won,Std of Aerials: Won,Median of Aerials: Lost,Mean of Aerials: Lost,Std of Aerials: Lost,Median of Aerials: Won%,Mean of Aerials: Won%,Std of Aerials: Won%
all,26.0,26.43,4.26,23.0,21.39,9.95,15.0,15.73,10.94,1.0,2.05,3.57,1.0,1.52,2.23,2.0,3.02,2.64,0.0,0.09,0.3,0.9,2.07,3.14,0.9,1.53,1.9,15.0,26.67,31.19,39.0,52.63,50.67,25.0,52.0,65.1,0.03,0.12,0.18,0.04,0.09,0.12,0.07,0.13,0.16,30.0,29.59,20.54,0.22,0.41,0.59,0.06,0.08,0.1,16.3,16.69,5.1,460.0,561.56,466.39,80.2,79.28,8.33,2160.0,3322.07,3601.19,89.9,88.79,6.85,85.7,84.0,10.18,53.8,54.6,15.93,8.0,13.85,15.64,29.0,43.74,45.34,6.0,11.78,14.66,1.0,2.81,4.4,21.0,32.35,32.83,1.79,2.07,1.44,2.0,3.54,4.28,0.15,0.21,0.22,17.0,25.02,23.0,10.0,14.96,14.11,8.0,11.2,10.58,12.0,15.49,13.93,3.0,5.23,7.37,8.0,10.26,9.54,7.0,11.33,11.91,756.0,849.05,632.6,32.0,96.19,178.95,161.0,281.0,311.29,281.0,361.22,320.76,143.0,215.17,213.75,20.0,35.07,41.86,43.8,42.64,21.59,405.0,475.57,364.42,1042.0,1321.03,1114.02,13.0,17.77,18.55,2.0,8.22,14.54,486.0,555.37,427.25,12.0,15.73,14.04,10.0,15.19,14.97,1.0,2.42,4.03,9.0,24.82,36.5,46.0,58.97,47.21,10.0,18.34,21.65,13.0,18.33,18.8,50.0,49.02,21.72
West Ham,28.0,28.5,4.91,22.0,22.12,8.22,14.0,16.0,10.66,0.0,1.54,2.64,1.0,1.0,1.53,2.0,3.08,2.64,0.0,0.12,0.34,1.3,1.82,2.29,1.15,1.3,1.42,13.0,23.83,30.67,32.0,46.83,41.15,25.0,46.21,58.49,0.0,0.09,0.13,0.04,0.08,0.14,0.07,0.13,0.16,27.35,23.96,14.27,0.22,0.38,0.42,0.02,0.05,0.06,16.2,17.82,5.72,523.5,554.5,403.12,80.2,78.53,7.95,2540.0,3452.17,3114.2,89.8,89.0,6.92,86.15,83.75,10.56,54.65,54.32,16.22,10.0,12.62,12.46,38.5,40.92,33.27,4.5,10.42,12.79,1.0,2.71,3.62,20.5,31.25,30.93,2.06,2.19,1.52,1.5,2.38,3.23,0.11,0.14,0.17,17.0,24.46,20.81,11.0,14.54,12.29,8.0,9.62,7.66,16.5,17.25,13.34,4.0,6.5,8.33,10.5,10.75,7.97,8.0,12.71,14.9,708.0,862.42,590.11,40.5,112.33,180.28,211.0,316.54,315.41,378.5,369.46,286.69,118.0,184.67,186.08,23.5,31.75,39.45,45.9,38.73,21.47,331.0,438.08,314.11,738.0,1120.58,931.47,10.0,15.12,16.73,2.0,6.71,13.4,482.5,549.88,385.3,16.0,16.92,14.2,12.0,15.67,17.84,1.0,2.92,4.33,13.0,23.33,27.7,44.5,59.21,47.87,11.0,22.38,27.79,16.0,21.29,19.77,50.0,51.88,16.68
Southampton,26.0,26.48,4.19,20.0,18.66,10.38,13.0,13.24,9.84,0.0,0.83,1.07,0.0,0.52,0.83,2.0,2.86,2.95,0.0,0.1,0.41,0.5,1.07,1.39,0.5,0.81,0.92,10.0,20.62,26.91,24.0,36.45,39.46,20.0,35.34,38.71,0.0,0.05,0.08,0.0,0.04,0.1,0.04,0.08,0.09,30.0,25.89,22.61,0.14,0.22,0.29,0.05,0.07,0.1,18.1,17.31,6.09,257.0,499.79,481.21,80.2,80.85,8.16,1476.0,2735.41,3676.53,90.9,89.6,7.08,89.5,85.36,10.85,55.25,53.7,17.13,5.0,8.83,9.45,13.0,32.24,39.48,5.0,7.0,7.76,1.0,1.86,2.6,15.0,20.03,20.13,1.37,1.41,0.85,1.0,1.38,1.88,0.06,0.11,0.14,13.0,20.41,19.73,7.0,11.83,11.31,10.0,9.38,7.02,8.0,13.38,14.92,2.0,5.9,9.14,5.0,7.48,8.0,5.0,9.62,12.26,457.0,726.79,636.27,42.0,93.66,170.64,161.0,265.34,322.23,198.0,313.41,308.4,131.0,154.34,149.29,15.0,21.86,20.86,44.95,42.89,27.79,253.0,406.9,363.25,599.0,1101.34,1119.56,9.0,15.24,18.8,1.0,5.1,7.59,349.0,494.34,436.35,12.0,14.76,13.43,8.0,13.66,15.76,0.0,1.52,2.63,6.0,17.62,26.86,23.0,46.0,44.26,8.0,14.62,20.92,8.0,12.66,13.74,54.5,54.45,22.8
Everton,26.0,27.5,5.05,24.0,22.41,9.29,15.0,17.45,10.65,1.0,1.5,2.13,1.0,1.0,1.11,3.0,3.41,2.17,0.0,0.09,0.29,1.1,1.7,2.02,1.05,1.3,1.11,12.0,20.32,20.5,40.0,43.5,35.4,24.0,42.55,40.94,0.04,0.09,0.13,0.04,0.08,0.1,0.05,0.11,0.12,36.2,35.81,27.43,0.24,0.73,1.88,0.04,0.08,0.11,16.8,16.76,5.53,428.5,465.73,348.05,74.15,75.53,9.55,2000.5,3498.27,4948.79,87.35,86.0,8.14,83.2,80.83,12.66,59.0,59.23,17.52,8.0,11.86,10.09,36.5,41.36,35.44,8.0,10.09,10.29,1.0,3.73,5.39,24.5,28.27,20.27,1.76,2.11,1.82,2.0,2.36,2.13,0.1,0.15,0.15,26.0,30.36,28.7,14.5,17.82,17.28,8.5,12.95,11.61,13.0,16.09,14.6,3.0,5.82,9.41,7.5,10.27,8.8,9.5,13.73,13.17,746.5,795.27,527.87,31.0,101.05,218.04,170.0,286.5,362.2,301.5,321.77,242.09,180.5,195.27,149.62,19.0,29.5,26.54,46.5,48.62,21.73,377.5,388.73,256.25,761.5,1032.18,837.88,10.0,14.5,11.92,2.0,5.0,7.15,439.5,460.05,286.97,15.0,17.91,13.96,14.0,15.23,12.97,1.0,3.45,6.33,6.5,28.32,36.99,56.0,62.23,48.32,10.5,24.95,29.62,15.0,23.23,23.89,50.6,49.86,21.76
Manchester City,26.0,26.44,4.81,23.0,19.88,8.97,17.0,15.36,8.63,1.0,2.64,4.41,0.0,1.92,2.56,2.0,2.32,1.75,0.0,0.04,0.2,1.3,2.52,4.18,1.5,2.03,2.25,35.0,41.64,45.44,64.0,70.28,60.42,26.0,69.6,78.22,0.06,0.18,0.25,0.0,0.1,0.14,0.07,0.16,0.22,32.05,31.45,21.18,0.33,0.46,0.51,0.11,0.13,0.21,17.85,17.03,4.84,676.0,793.52,591.9,87.7,86.5,6.96,2604.0,3619.36,3290.53,94.4,92.13,6.13,91.9,89.52,7.83,64.3,59.78,12.41,9.0,17.24,16.85,42.0,62.0,64.95,11.0,15.88,16.2,1.0,2.32,3.17,33.0,39.76,33.94,2.08,2.38,1.75,3.0,4.64,4.55,0.26,0.28,0.24,15.0,18.44,17.06,7.0,11.2,10.89,6.0,8.84,8.55,11.0,12.44,9.6,1.0,3.28,4.82,9.0,9.16,7.1,5.0,8.2,8.58,892.0,1033.8,699.04,39.0,78.52,139.29,197.0,241.56,242.91,331.0,447.28,395.87,324.0,353.4,278.86,22.0,48.52,51.76,36.1,37.56,23.66,590.0,664.68,466.35,1714.0,2051.96,1583.71,23.0,31.16,27.55,3.0,14.48,23.37,630.0,783.04,543.8,11.0,10.64,8.18,12.0,13.88,11.47,0.0,1.68,2.46,8.0,23.6,32.25,46.0,53.0,35.29,5.0,11.12,13.49,8.0,11.96,11.12,47.3,45.18,20.94
Leicester City,26.0,26.69,4.51,21.5,20.23,9.72,15.0,14.81,9.97,0.0,1.12,2.01,0.0,0.85,1.19,2.0,3.12,2.64,0.0,0.0,0.0,0.4,1.18,2.17,0.4,0.92,1.14,15.0,21.04,22.98,30.5,38.85,34.96,20.0,38.27,40.64,0.0,0.06,0.1,0.0,0.06,0.09,0.04,0.07,0.09,32.9,32.94,24.08,0.18,0.26,0.27,0.0,0.05,0.07,16.65,17.2,6.37,424.0,486.42,383.13,78.55,78.38,8.33,1940.0,2966.62,2962.62,90.35,89.3,7.3,83.0,84.12,9.5,54.1,57.41,19.49,6.0,8.54,9.4,24.0,33.96,32.36,4.5,7.23,8.53,0.5,2.19,3.93,13.5,19.58,18.98,1.32,1.44,1.13,1.0,1.85,2.39,0.06,0.12,0.14,20.5,24.96,22.83,11.0,14.58,13.85,9.5,12.31,12.13,15.0,17.12,14.43,4.0,6.77,8.2,7.5,10.35,8.85,7.5,11.31,12.13,724.0,749.65,544.44,34.0,100.77,167.92,149.0,280.54,287.75,318.0,340.19,286.59,96.5,135.5,134.74,12.5,20.58,24.35,47.6,48.2,26.02,393.0,424.77,299.05,1042.0,1048.23,777.15,7.0,12.0,12.15,2.0,4.69,6.3,436.5,477.38,343.37,12.0,13.38,10.77,10.5,11.62,9.88,0.5,2.04,4.87,6.5,20.46,27.36,39.0,49.69,38.39,10.5,16.69,16.99,14.5,18.0,16.83,50.0,49.71,19.6
Bournemouth,26.0,25.96,3.82,26.0,22.22,10.18,17.0,16.7,11.63,1.0,2.35,3.59,1.0,1.7,2.05,3.0,3.87,3.08,0.0,0.09,0.29,1.1,2.68,3.58,1.1,1.81,1.87,19.0,29.87,34.65,43.0,58.48,52.05,31.0,57.65,71.61,0.03,0.14,0.18,0.04,0.1,0.11,0.08,0.18,0.2,29.7,25.02,16.67,0.15,0.54,0.65,0.06,0.06,0.06,16.45,15.8,4.38,436.0,504.78,408.76,74.3,73.93,6.58,2372.0,3442.65,3477.68,88.0,86.84,7.09,78.3,81.62,10.8,47.8,46.66,17.89,11.0,17.78,16.56,37.0,48.22,47.73,7.0,13.22,13.87,2.0,4.04,5.53,28.0,40.78,36.35,2.35,2.57,1.87,2.0,3.96,4.19,0.21,0.23,0.21,21.0,27.96,23.43,10.0,16.13,14.51,13.0,13.57,10.71,16.0,18.83,16.69,3.0,5.74,7.26,8.0,13.09,12.64,10.0,14.39,15.62,783.0,852.48,626.55,44.0,90.26,153.47,159.0,257.3,280.45,316.0,365.96,322.88,133.0,239.74,238.2,19.0,39.52,48.08,45.1,42.83,19.17,483.0,458.35,342.5,1183.0,1442.09,1300.4,17.0,21.09,20.43,1.0,9.09,16.03,435.0,499.7,370.48,16.0,20.52,17.98,10.0,15.61,13.89,0.0,2.74,5.07,10.0,32.96,41.37,59.0,73.22,57.25,20.0,23.17,21.3,22.0,24.61,20.98,47.0,50.18,18.4
Brighton,24.0,25.7,5.2,22.0,19.81,10.11,10.0,14.19,10.05,1.0,2.04,3.03,1.0,1.37,1.62,2.0,2.78,2.59,0.0,0.11,0.32,0.7,1.94,2.69,1.2,1.36,1.41,19.0,26.93,30.43,40.0,51.11,50.66,27.0,50.67,63.46,0.05,0.13,0.15,0.04,0.1,0.13,0.09,0.12,0.12,28.0,29.24,21.89,0.28,0.33,0.31,0.05,0.08,0.09,16.2,17.22,3.8,368.0,532.15,491.82,81.2,79.88,7.84,1656.0,3071.07,3950.89,90.5,89.64,6.22,82.4,81.54,10.73,52.9,56.13,13.36,13.0,12.11,10.2,28.0,39.59,49.29,8.0,11.19,10.62,1.0,2.93,3.87,26.0,30.63,23.82,2.76,2.46,1.2,3.0,3.67,2.99,0.29,0.31,0.27,17.0,23.44,19.66,10.0,14.26,12.09,9.0,11.96,9.26,12.0,14.85,12.28,2.0,4.15,5.5,10.0,10.7,10.03,9.0,10.78,9.88,648.0,796.19,629.9,27.0,88.56,200.37,129.0,255.67,331.4,246.0,346.59,332.52,154.0,202.74,181.99,14.0,35.15,42.71,45.1,46.36,20.87,393.0,467.74,393.62,1142.0,1402.15,1444.76,17.0,18.89,18.9,3.0,8.63,15.27,423.0,524.59,432.4,11.0,14.96,12.57,9.0,13.96,14.75,1.0,1.52,1.85,9.0,22.63,28.36,41.0,54.41,44.52,14.0,17.7,18.73,13.0,16.11,14.93,51.9,49.98,20.38
Crystal Palace,27.0,26.67,3.26,30.0,24.05,10.63,19.0,18.24,12.87,0.0,1.9,3.4,1.0,1.52,2.09,2.0,3.62,3.37,0.0,0.19,0.4,1.1,2.55,3.46,1.5,1.91,2.13,11.0,21.71,22.71,47.0,50.14,39.5,11.0,49.62,64.76,0.0,0.09,0.13,0.03,0.06,0.08,0.08,0.14,0.14,31.6,29.24,17.72,0.34,0.49,0.46,0.0,0.06,0.08,17.7,18.12,5.71,541.0,519.19,395.32,75.6,74.08,6.96,2248.0,3478.86,3560.96,84.5,84.29,6.46,81.1,79.82,10.53,46.7,49.96,18.59,9.0,16.14,16.23,27.0,38.71,32.31,4.0,11.95,12.75,1.0,3.05,4.38,27.0,37.67,35.42,2.0,2.21,1.5,3.0,3.62,3.43,0.15,0.17,0.17,21.0,33.14,29.94,14.0,19.62,18.89,15.0,14.14,9.91,19.0,21.05,18.02,3.0,6.14,6.91,13.0,14.9,12.89,11.0,14.24,14.48,871.0,888.33,626.87,30.0,110.67,217.52,181.0,330.52,366.74,377.0,369.24,273.54,146.0,197.1,188.13,18.0,34.43,36.31,45.55,47.97,26.27,430.0,444.76,315.46,1004.0,1094.48,800.98,10.0,15.38,14.12,1.0,5.24,7.51,533.0,514.43,354.96,12.0,18.05,16.2,19.0,17.95,15.87,1.0,3.19,4.92,11.0,26.9,32.74,64.0,72.9,54.04,17.0,22.38,22.37,19.0,28.19,25.86,43.6,41.11,18.51
Fulham,28.0,28.41,3.4,27.0,24.5,9.33,17.5,17.45,11.5,0.5,2.23,3.26,1.0,1.91,2.56,2.5,3.41,2.99,0.0,0.09,0.29,1.05,2.12,2.68,1.0,1.63,1.88,22.0,32.82,36.19,53.0,65.32,49.52,39.0,64.18,71.84,0.02,0.16,0.24,0.08,0.1,0.12,0.08,0.15,0.15,30.9,32.04,24.49,0.26,0.51,0.57,0.02,0.07,0.09,15.85,16.89,4.78,561.5,603.27,502.17,81.3,79.69,8.12,1980.0,3489.14,3962.73,89.8,88.45,6.63,83.8,83.9,9.06,56.4,58.39,13.7,9.5,15.73,17.41,39.5,48.59,42.01,6.0,12.95,19.24,1.0,4.23,7.32,26.5,35.91,33.53,2.0,2.27,1.68,3.0,4.0,4.38,0.17,0.22,0.21,21.5,26.86,24.04,12.0,16.23,15.09,8.5,11.05,11.63,12.0,13.45,11.34,2.0,3.41,4.17,10.0,10.05,8.64,6.5,11.14,13.56,911.0,894.23,688.05,21.5,96.14,234.09,131.0,286.05,365.67,343.0,367.5,317.77,201.0,250.5,237.41,25.5,36.55,39.67,41.7,39.46,13.19,521.0,525.5,421.93,1130.0,1428.41,1341.09,16.5,21.55,24.29,4.0,8.23,11.03,606.5,596.59,457.37,15.5,17.14,14.91,13.0,13.82,11.74,1.0,1.82,3.23,13.0,36.45,52.16,53.5,61.86,47.06,10.5,19.55,21.53,17.5,20.45,21.62,48.0,49.83,22.0
